PID,Social Media Post,Normalized Claim
2449,"joe biden left marines behind in afghanistan and now he left a marine behind in russia americans are tired of his weakness on the world stage","“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”"
2450,"announcement i ante meridiem with animal clients this morning a visiting dog to the neighbours of my last client died overnight please do not give your dogs ice cubes or other frozen items in the heat to cool them down ice cubes do not cool dogs down i post this warning more than once every summer giving ice cubes to dogs in the heat has the opposite effect of cooling the canine anterior hypothalamus is triggered to warm up the body because it recognises something icy cold has been absorbed and subsequently the bodily temperature rises to compensate for this in extreme heat a dogs temperature needs to be reduced gradually sadly the above is the case in the dog mentioned above just 7 years old give dogs tepid water only tepid water soaked towels rubbed into the dogs fur close to the skin to wick away heat from the body will keep them cool especially under forelegs armpits and pads not ice cubes","Giving dogs ice in hot weather causes them to overheat."
2451,"there are no absolute figures given the furtive nature of this proclivity","The National Crime Agency says that one in 35 UK men have a sexual interest in children."
2452,"pm modi bowed to saudi king salman bin abdulaziz al saud","PM Modi is touching Saudi King's feet"
2453,"keep hydrated with the best tap water in the world visit for more tips on keeping cool this summer","There’s polio in New York City’s tap water."
2454,"black panther spotted in golconda fort creating panic situation nearby","A black panther was spotted in Golkonda (Hyderabad)"
2455,"assault on hindu temples continue in xtian ruled andhra pradesh eluru agraharam canal road teku bank hanuman temple doors were broken and hanuman jos idol broken what a shame","Recent pictures of vandalized Hanuman idol in Eluru"
2456,"we do not yet know whether getting vaccinated will stop you from catching and passing on the virus","Vaccines don’t stop you getting Covid-19 or spreading it."
2457,"higher intake of total flavonoids was associated with lower odds of subjective cognitive decline","Eating plenty of colourful foods could reduce the risk of Alzheimer's disease according to research."
2458,"after the japanese decimated our fleet in pearl harbor december 7 1941 they could have sent their troop ships and carriers directly to california to finish what they started the prediction from our chief of staff was we would not be able to stop a massive invasion until they reached the mississippi river remember we had a 2 million man army and war ships in other localities so why did they not invade after the war the remaining japanese generals and admirals were asked that question their answerthey know that almost every home had guns and the americans knew how to use them","Says the Japanese military did not invade the mainland United States after Pearl Harbor because ""they know that almost every home had guns and the Americans knew how to use them."""
2459,"heeraba who inspired nation dies modi first indian prime minister to lose parentwhile in office","Heeraba, who inspired nation, dies: Modi first Indian PM to lose parentwhile in office http://toi.in/0evIWY/a24gk"
2460,"looking forward to the fact check on this one","The unvaccinated aren’t dying."
2461,"kapil mishra the mastermind behind delhi hindu and muslim riots kapil mishra","Kapil Mishra's sister marries Shahzad Ali"
2462,"entire port in delaware on lockdown 60 plus kids found in shipping containers where is the media","“Entire port in Delaware on lockdown? 60 plus kids in shipping containers.”"
2463,"some have suggested that leaving the european union might present challenges to the uk but others disagree labelling this as project fear","A majority of voters say violence against MPs is “worth it” to get their way in Brexit."
2464,"car rentals 877 gas prices 451 hotel prices 169 reckless spending is costing americans more this summer instead of fixing inflation the democrats plan on spending more","Says spending by Democrats is driving major jumps in car rentals, gas prices and hotel prices this summer"
2465,"the chart is not a prediction but it is a way of thinking about how quickly this can change","The number of new Covid-19 cases each day is roughly doubling every week."
2466,"a quick and easy do it yourself to whitening your teeth ingredients turmeric 1 teaspoon pure coconut oil 1 tablespoon benefits turmeric remove plaque bacteria gum diseases and bad breath coconut oil healthier gums plaque removal and whiter teeth","you can whiten your teeth with coconut oil and turmeric"
2467,"they will try everything to steal it we will not let them","Results of AZ Gov. race aired ahead of election show attempt to steal it"
2468,"the government repeatedly claims exiting the eu is the will of the people we need to put a stop to this claim by proving the strength of public support now for remaining in the eu a peoples vote may not happen so vote now","You can sign the Revoke Article 50 petition repeatedly using the same email address."
2469,"spectacularsignature unesco has declared subregistrar honavar in karnataka india to have the most spectacular signature in the world","UNESCO declared Honnavar town sub-registrar officer’s signature as the most spectacular signature in the world"
2470,"omicron o micron 0 zero micron nonexisting truth is often hidden in plain sight","A social media post claims that the SARS-CoV-2 virus variant, Omicron is a cryptic name which means non-existing. We fact-checked and found this claim has misleading information and is False. The meaning of Covid variant ‘Omicron’ does not translate to ‘non-existing’."
2471,"kentucky fried chicken lost its case after years of trying to claim it was 100 chicken the company was found guilty as only 15 of it is chicken and the remaining 85 is not good for human consumption only for dogs the islamic judicial council withdrew its guarantee certificate as it also found that the spices","US court said KFC is unfit for humans"
2472,"fans of afghanistan and pakistan clashed with each other","Fans of Afghanistan and Pakistan clash with each other"
2473,"avoid balanagar jeedimetla route under construction flyover collapse gold telangana","Avoid Balanagar Jeedimetla route. Under construction FLYOVER collapse"
2474,"looking forward to the fact check on this one","A social media post reads, “The unvaccinated aren’t dying.” We fact-checked and found this claim to be Mostly False."
2475,"raise your hand if you are voting against trump in 2024 i want everyone to follow you","Donald Trump mocked ""I Can't Breathe"" at an Event"
2476,"interpretation of dreams about snake part 1 admin lady l dream is a natural phenomenon experienced by every human being but sometimes after dreaming we feel a connection between our dreams and real life some people have even experienced a dream come true dreams can also be a sign of future events as follows are several meanings of dreams that have been interpreted in such a way by dream interpreters find your dreams listed below 1 the dream of a green snake getting a handsome and devoted son to parents and in the future may raise the parents degree 2 dreams are approached by snakes from a puddle of water will get a boy who is unlucky and well off in the financial field 3 dream of seeing a serpent in a tree will get a son who is successful in the future has wealth and upholds the dignity of parents 4 dreams are pursued by snakes you are sought after by someone you once loved 5 dreams are pegged snakes you will be overflowed with fortune and health 6 dream of killing a snake bad luck will stay away from you 7 dreams snaked people who love you siblings friends girlfriend are hating you for a problem 8 dreams stepping on snakes your problems will be resolved such as accounts payable romance and work duties","Dreams have meanings; Dreams can predict future"
2477,"facemasks are only recommended to be worn by infected individuals when advised by a healthcare worker to reduce the risk of transmitting the infection to other people it remains very unlikely that people receiving care in a care home or the community will become infected","Until 12 March, the government’s advice said it was ‘very unlikely’ people in care homes will become infected."
2478,"how is the josh indians china shows in reality ghuss kr marin gy galwanvalley ladakh","Pictures of martyred Indian soldiers in the recent border clash between India and China in the Galwan valley (Ladakh)"
2479,"when any nation mistrusts its citizens with guns it is sending a clear message it no longer trusts its citizens because such a government has evil plans","Quotes George Washington as saying ""when any nation mistrusts its citizens with guns … It no longer trusts its citizens because such a government has evil plans."""
2480,"we went from 75000 flu deaths last year in america to almost 0 does anyone actually believe that or do you think there may be allocation games being played to manipulate the truth","The claim: Flu deaths are down to almost zero and data is being manipulated."
2481,"this message is to inform you all that dengue viral is going on so please use coconut oil below your knees till your footsteps it is a antibiotic and a dengue mosquito can not fly higher than knees so please keep this in mind","Dengue can be prevented with coconut oil"
2482,"hospitals on lockdown as first covid vaccine patients start eating other patients","HOSPITALS ON LOCKDOWN AS FIRST COVID VACCINE PATIENTS START EATING OTHER PATIENTS"
2483,"artile other","Sleeping with socks can cause brain damage"
2484,"allah has decided that these oppressors will be eliminated we will establish shariah somewhere or the other it has to start this is the ideology of amanatullah khan from the aap party now you also think whether everything will be decided by allah or you will also decide something do you want to establish shariah or not","AAP Leader Amanatullah Khan said he wants to create Sharia"
2485,"there has never been a leak of a vote much less an actual opinion much less in a case of this significance jeffreytoobin says he calls it a shattering experience for the justices and says i really do not know how the institution is going to recover","“There has never been a leak anything like this” draft of a Supreme Court opinion that would overturn Roe v. Wade. “There’s never been a leak of a vote — much less an actual opinion, much less in a case of this significance.”"
2486,"eric trump says there never will be a president who has sacrificed so much of his wealth made so many personal sacrifices as my father","""When my father became commander in chief of this country, we got out of all international business."""
2487,"corona virus before it reaches the lungs it remains in the throat for four days and at this time the person begins to cough and have throat pains if he drinks water a lot and gargling with warm water and salt or vinegar eliminates the virus spread this information because you can save someone with this information","Gargling water mixed with salt or vinegar eliminates the new coronavirus from your throat."
2488,"new guidelines of icmr for covid 19 released on august 6 supthsup brfor prophylaxis tabbrivermectin 12 mg bron day 1 day 7 and day 30 br 2 hours after dinnerbrfollowed bybrevery 30 days 1 tab of 12 mg till pandemic is over","New guidelines of ICMR for C-19 released on Aug 6th"
2489,"the new ncp coronavirus may not show sign of infection for many days how can one know if he she is infected by the time they have fever andor cough and goes to the hospital the lungs is usually 50 fibrosis and its too late taiwan experts provide a simple selfcheck that we can do every morning take a deep breath and hold your breath for more than 10 seconds if you complete it successfully without coughing without discomfort stuffiness or tightness etc it proves there is no fibrosis in the lungs basically indicating no infection in critical times please selfcheck every morning in an environment with clean air serious excellent advice by japanese doctors treating covid 19 cases everyone should ensure your mouth and throat is moist never dry take a few sips of water every 15 minutes at least why even if the virus gets into your mouthdrinking water or other liquids will wash them down through your oesophagus and into the stomach once there in tummyyour stomach acid will kill all the virus if you do not drink enough water more regularlythe virus can enter your windpipes and into the lungs that is very dangerous pls send and share with family friends and everyone","To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection."
2490,"there are 6 media companies that exist today but there used to be 88 all 6 get their news from reuters and the associated press reuters owns the ap and rothschilds own reuters","Reuters owns the Associated Press."
2491,"new yorkers are just tired of subsidizing other states with our tax dollars new york subsidizes 42 other states no state gets back less from washington than new york state the federal government must stop shortchanging ny sots 2021","“No state gets back less from Washington than New York state.”"
2492,"polio was not some single strain virus eradicated by a miracle vaxx it was pesticides like lead arsenate and its more lethal replacement ddt that lead to lower spine lesions through the gut this is why we want organic foood and products so we can stop this vicious cycle that repeats itself with other diseases","Stopping the use of DDT cause a sharp decline in polio cases"
2493,"let us all take a moment today to reflect on the mount vernon communitys resilience 10 years after the skagit river bridge collapse quick actions saved lives that day and i remain proud of the work wsdot state patrol commerce and others did to support the communitys recovery","""The forest fires were so grotesque last year that we had the worst air in the world in Washington."""
2494,"biden wants to put a 3 annual federal tax on your home do you want him for potus","The claim: Joe Biden, if elected president, would enact a national 3% property tax. "
2495,"the worst decade for living standards since the last war and probably since the 1920 s","The IMF says that the UK will be the fastest-growing advanced economy in the world in 2016."
2496,"is there where they take his brain in and out","Joe Biden has been seen with a large bruise on his forehead during a trip to Poland."
2497,"new currency note of rupees 1000 of rb","RBI issued Rs 1000 currency notes"
2498,"av age 825 years and these mentalist fucks think you 5 yr old needs a jab","To the end of 2021, there have been 18,939 Covid-19 deaths with comorbidities in the UK."
2499,"the shortest speech of the chief minister of assam in which he has said everything understand this is new india","The shortest speech of the Chief Minister of Assam in which he has said everything! Understand. This is new India!"
2500,"last time you were coming to television running asking people to light the torch clap bang the plates what happened now the snake sniffed","Last time you were coming to TV running, asking people to light the torch, clap, bang the plates, what happened now, the snake sniffed?"
2501,"this is what the supreme court has legitimized today haldwaniencroachment","This is what the Supreme Court has legitimized today!

#HaldwaniEncroachment"
2502,"abortion rates in the us have been declining for decades already whatever is being done at the moment is leading to fewer abortions every year conservatives should like that debate about abortions is purely ideological and hardly factdriven source","Abortion rates in the US have been declining for decades already"
2503,"it is important to understand that a careful assessment of the reports is ongoing and it has not been concluded that the mrna covid 19 vaccines because myocarditis or pericarditis","A probable new link has been found between the Pfizer jab and the heart condition myocarditis."
2504,"1 i have been asked a lot recently why i have been tweeting less about politics and more about food on this here bird app here is the scoop on 11321 my husband was diagnosed with aml he suffered a heart attack during the first day of his admission","""Trump just deleted all of these tweets that called immigrants ‘invaders’ """
2505,"eat chicken beat corona","Eat chiken beat coronavirus"
2506,"rest in peace mr bean","Rowan Atkinson – the person who played the Mr Bean character – died recently"
2507,"we warned you illegals can now become police officers you cannot make this up","Those in the country illegally can be police officers in California"
2508,"foreign tourists are also forced to show mirror to bjp ruled yogi government yamuna ji is full of filth under the bjp government this filth is a bad stain on the beauty of the taj mahal it is very shameful for a foreign tourist to show the mirror to the government this image of india and up has been created by the bjp government","ताजमहल के पीछे गंदगी के बारे में बताती विदेशी पर्यटक"
2509,"monkeypox is fear porn to force compliance and justify a massive power grab by the who and the davos elite at the world economic forum davos davos 2022 wef agenda 2030 crushthenwo","The WEF meeting plan the monkeypox outbreak"
2510,"dennis prager during the aids crisis can you imagine if gay men and intravenous drug usershad they been pariahs the way the nonvaccinated are but it would have been inconceivable","""During the AIDS crisis, can you imagine if gay men and intravenous drug users … had they been pariahs the way the non-vaccinated are? But it would've been inconceivable."""
2511,"ronaldo visit masjid to read quran","Cristiano Ronaldo visit masjid to reading Quran mash allah."
2512,"one of the worst days so far for coronavirus was the 10 th of february on that day 108 persons in china died of coronavirus but on that same day 26283 people died of cancer 24641 died of heart disease 4300 people died of diabetes and on that day suicide unfortunately took more lives than the virus did by 28 times moreover mosquitoes kill 2740 people every day humans kill 1300 fellow humans every day and snakes kill 137 people every day take a deep breath and wash your hands","Snakes kill 137 people every day"
2513,"winner of 128 billion lottery gets 4337 million after tax congratulations to the irs on winning the 8463 million mega millions jackpot","IRS would collect $846 million from the winner of a $1.28 billion lottery"
2514,"in 1928 walt disney created mickey mouse nobody could have predicted the impact mickey would have nearly a century later he is still the walt disney companys dominant figure and the face of disney however in 2024 figment will take over as the official disney mascot from mickey mouse the decision to remove mickey mouse as disneys official mascot was motivated primarily by legal concerns mickey mouses copyright protection is set to expire in january 2024 this means that mickey mouse will be in the public domain and anyone will be able to use him disneys famous mouse will no longer have the same level of legal protection via mousetrapnews","“Mickey Mouse to be replaced as official Disney mascot.”"
2515,"doctor bourla has not been arrested","Pfizer CEO Dr Albert Bourla was arrested on 5 November and held in custody for deceiving customers on the effectiveness of the Covid-19 vaccine."
2516,"holding the tricolor in the hands the mass struggle begins with the proclamation of bharat mata ki jai against corruption rajasthan united in pilot january sangharsh yatra","Sachin Pilot's 'Jan Sangharsh Yatra' in Rajasthan"
2517,"the argos store in cooperation with xiaomi are doing a promotion for 50 electric scooters participants have the opportunity to get a xiaomi mi pro 2 scooter at a very large discount hurry up the time of the promotion is limited","A Facebook promotion in conjunction with retail chain Argos is offering e-scooters for £3."
2518,"this means that you do not need to seek advice or request a letter from a medical professional about your reason for not wearing a face covering","Police will now require written evidence of a medical exemption if people are to avoid a fine for not wearing a mask."
2519,"not sure if he is prophesying or planning has anyone read the chapter that this passage belongs to","A Facebook post claims a book written by the executive chairman of the World Economic Forum detailed plans to depopulate the world through wars, organised epidemics and starvation."
2520,"still think the tories are not deliberately destroying the nhs spot the difference meanwhile private hospitals are allowed to register as a charity saving them up to 80 on their business rates nhs hospitals have just been hit with a 21 rise in their business rates this will just add to the financial pressures the nhs is already facing coincidence we think not wr wear red stand up and be counted","NHS hospitals have been hit with a 21% rise in business rates."
2521,"the department will never be able to measure whether universal credit actually leads to 200000 more people in work","Universal Credit will mean 200,000 more people will be in work when it’s fully rolled-out."
2522,"so newsom closed all voting precincts through california in our county of ventura 379 precincts will be closed voting day and instead only 47 voting stations will be open newsom said this is because of cv 19 but that makes no sense if that were really his concern you would want more locations with fewer people at each place not less even more scary no one knows this is happening throughout all of california","Claim: Ventura County election officials reducing voting locations to limit in-person voter turnout"
2523,"the youk portugal and belgium must have all been visited by the same sailor","Articles reported that the same boy died of COVID-19 in three different countries"
2524,"this is the treatment of cancer","Wild pigeon can cure hepatitis and cancer"
2525,"the exponential amount of adverse reactions being suffered to the covid 19 vaccines could have something to do with it the rise in demand as well","The vaccination programme has overwhelmed the NHS."
2526,"archaeologists found a 80 feet long human skeleton which is similar to the description of ghatotkach the son of bhima of mahabharata","24 mtr long skeleton has not been excavated in Kurukshetra"
2527,"did you know that poland has refused to allow mosques to be built until they can build a christian church in saudi arabia","Poland has refused to allow mosques to be built until they can build a Christian church in Saudi Arabia."
2528,"you cannot contract legionnaires disease from wearing face masks legionella bacteria is transmitted by aspirating drinking water or breathing in water droplets legionella is not spread from persontoperson in respiratory droplets nor does the bacteria survive on dry surfaces your mask would not be a source of transmission for the legionella bacteria","A woman was hospitalised with suspected Covid-19, only for her illness to be shown to be Legionnaires’ disease caught from a mask."
2529,"tonight at 1230 to 0330 make sure to turn off the phone cellular tablet and put away from your body singapore television announced the news please tell your family and friends tonight at 1230 to 0330 our planet will be exposed to very high radiation from cosmic rays passing close to earth so please turn off your cellphones do not leave your device close to your body it can cause you terrible damage check google and nasa bbc news send this message to all the people who matter to you","Tonight at 12:30 to 03:30, our planet will be exposed to very high radiation from Cosmic rays passing close to Earth. So please turn off your cellphones"
2530,"any one else tried this","Magnets can stick to your arm after a Covid-19 jab because they contain a microchip or other metals."
2531,"big problems and discrepancies with mail in ballots all over the usa must have final total on november 3 rd","Counting ballots for weeks after Election Day “is totally inappropriate, and I don't believe that's by our laws."" "
2532,"so that is there should we need it","The government has procured a contract worth £30 million to provide surge capacity for the ambulance service during periods of increased pressure, and that “is there, should we need it”."
2533,"one of the worst days so far for coronavirus was the 10 th of february on that day 108 persons in china died of coronavirus but on that same day 26283 people died of cancer 24641 died of heart disease 4300 people died of diabetes and on that day suicide unfortunately took more lives than the virus did by 28 times moreover mosquitoes kill 2740 people every day humans kill 1300 fellow humans every day and snakes kill 137 people every day take a deep breath and wash your hands","108 people died from Covid-19 in China on February 10th, one of the worst days so far."
2534,"consuming raw onion with salt will turn covid positive person to negative in just 15 minutes","Consuming raw onion with salt will turn covid positive person to negative in just 15 minutes"
2535,"president realdonaldtrump new york governor andrew cuomo refused to order 16000 ventilators back in 2015 for a pandemic","Says N.Y. Gov. Andrew Cuomo “rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”"
2536,"there are a range of factors that can lead to variable reporting of one vaccine over another for instance sociodemographic factors of vaccine recipients or whether or not they have been encouraged by information or a healthcare professional to make a report","The MHRA has confirmed deaths due to Covid-19 vaccines in 10 months are 330% higher than deaths due to all other vaccines in the past 20 years."
2537,"in individuals aged 40 to 79 the rate of a positive covid 19 test is higher in vaccinated individuals compared to unvaccinated this is likely to be due to a variety of reasons including differences in the population of vaccinated and unvaccinated people as well as differences in testing patterns","A PHE report shows the Covid-19 vaccines have negative effectiveness in the over-40s."
2538,"in line with what is known from the international research evidence the preliminary data presented above shows no increased risk of perinatal mortality or preterm birth following covid 19 vaccination in pregnancy","The number of miscarriages in Lanarkshire doubled in 2022 because of the Covid-19 vaccines."
2539,"a fireman in jackson just informed us that they have responded to several calls where people are picking up money off the ground and then becoming numb the money is laced with something and when touching other parts of body they become numb this is a new way of targeting people to rob they also have seen where zip ties are being placed on car doors targeting carperson to rob this is true and happening in jackson so please do not pick up money you see on the ground no matter the denomination stay vigilant and be careful let others know to be aware","The claim: People in Jackson, Mississippi, are being harmed by laced money"
2540,"russia launches battle with ukrainewd 02","Footage of a plane being fired at shows the war in Ukraine."
2541,"the figures below show you are more likely to have covid and pass it on if you are vaccinated","UKHSA data shows that the Covid-19 vaccines are negatively effective."
2542,"individuals under increased stress may reduce health promoting behaviours eg optimal oral hygiene practices","Poor oral health raises the risk of mental illness by a third."
2543,"statement from president trump on the situation on the border as well his thoughts on dhsgov secretary mayorkas bordercrisis border","""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”"
2544,"thousands of poor living in slums in delhis landless camp are getting the gift of a permanent house today prime minister shri narendramodi will make his dream come true by handing over the keys of 3024 ews flats to the beneficiaries translated from hindi by google thousands of poor living in slums in delhis landless camp are getting the gift of a pucca house today the prime minister shri narendramodi will give the key of 3024 ews flats to the beneficiaries their dream will come true now a slum central government has given a big gift to the residents of delhi pm shri narendra modi will get a pucca house kalkaji delhi today at 430 pm will inaugurate 3024 newly constructed ews flats and hand over the keys of the flats to the beneficiaries","Thousands of poor living in slums in Delhi’s landless camp are getting the gift of a pucca house. Today the Prime Minister Shri @narendramodi will give the key of 3024 EWS flats to the beneficiaries, their dream will come true."
2545,"the united states was supposed to be in syria for 30 days that was many years ago we stayed and got deeper and deeper into battle with no aim in sight when i arrived in washington isis was running rampant in the area we quickly defeated 100 of the isis caliphate","""But Europe did not want them back, they said you keep them USA! I said ‘NO, we did you a great favor and now you want us to hold them in U.S. prisons at tremendous cost. They are yours for trials.’"""
2546,"all opposition parties must stand together and come out","A glitch in the Fijian Elections Office's Results App was a breach of the Electoral Act and a recount is now required."
2547,"a simple way to nobble your mp this method is to get your views out to them let them see they will loose your vote if they say yes to any of the questions remember you do not actually have to vote for them anyway it is a rouse to get your views to them","65,000 people died of winter flu in December 2017 and January 2018."
2548,"the city of london leads the way in the effects of sanctioning russian banks","The UK has sanctioned £258.8 billion of Russian bank assets, while the US has sanctioned £240 billion and the EU £38.8 billion."
2549,"we would not advise using tampons to stem severe bleeding as you may not know whether there is an object in the wound nor the full extent of the injury and therefore you risk doing further damage","If you get stabbed, open a tampon and whack it in the wound. The tampon will swell, which creates pressure and stops the bleeding."
2550,"malnutrition in children is an important public health issue that should be subject to public scrutiny and open debate but it is equally important that this takes place on the basis of the correct facts","915 children were admitted with malnutrition in Cambridge hospitals between 2015 and 2020. There were 656 similar admissions at Newcastle hospitals, and 656 at the Royal Free London hospitals."
2551,"if you want to find out the truth about carbon dioxide and our climate crisis follow peter clack on twitter he is a true expert and he explains that our carbon dioxide is actually not enough we have had an uptake in carbon dioxide and that is why in the past 20 years green is starting to grow in our deserts carbon dioxide is too low right now and we need more of it so everything they are saying about climate change is complete nonsense we are at risk of cooling right now do you remember when they changed the term from global warming to climate change that is because they follow the climate and make their narrative fit whatever the climate is doing it is fearmongering for complete control over our lives and while they are at it taxing us into poverty stop complying with the most corrupt governments around the world that are all being manipulated by the same group of people","The claim: ‘No correlation’ between carbon dioxide emissions and the climate "
2552,"largest collection of human data in history with no consent figures anyone else not done a single test","The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests."
2553,"senator bernie sanders led the effort to dump vermonts nuclear waste on a poor latino community in texas we need to work together to protect disadvantaged communities and help them thrive call today and tell bernie sanders we need to end dirty politics 2022245141","“Sen. Bernie Sanders led the effort to dump Vermont's nuclear waste on a poor Latino community in Texas.”"
2554,"fireball whiskey recalledcontains propylene glycol used in antifreeze does tn fire contain propylene glycol hope not jd_singlebarrel","Fireball whisky contains propylene glycol"
2555,"but it says hassan on his uniform","A social media picture claims that it is an image of Major General Faisal Naseer, who serves as the Director General of Counter Intelligence at the Inter-Services Intelligence (ISI)."
2556,"the global recession is a planned and coordinated attack to get us to submit to digital ids and digital currency ie a chinese style social credit system","The Queen didn’t die on 8 September."
2557,"attention staring at a woman for more than 14 seconds can send you to jail ncib headquarters ncibhq required information 700 seeing any girl woman for more than 14 seconds can lead to jail because knowingly or unknowingly or jokingly staring at a familiar or unfamiliar girl woman for more than 14 seconds is a serious crime under section 294 and 509 of the ipc such cases come under molestation","Staring at a woman for more than 14 seconds is a serious crime and can lead to jail under sections 294 and 509 of IPC"
2558,"17 september national unemployment day if students fight for their rights lathi charge on them farmer fight for their rights then lathi charge","Images with a claim that students protesting against unemployment were beaten by UP Police"
2559,"everyone help hucknall my son charlie william took off this morning with our dog tank he is autistic and has been missing for eight hours nowif anyone sees him or our dog please prime minister me please repost on any sitesi already contacted police","An autistic boy named Charlie William has gone missing with his dog."
2560,"1 eggplant you will melt your belly fat in 7 days without diet or exercises you will lose up to 10 kg in a week weightloss bellyfat homemade diy drinks","Belly fat melt in 7 days by having a drink of lemon and eggplant"
2561,"doctor manmohan singh ji will be the chief guest of the swearingin ceremony of the new president of the united states","Dr Manmohan Singh ji will be the chief guest of the swearing-in ceremony of the new President of the United States"
2562,"this is very interesting","Hydrogen Peroxide can treat Skin Cancer"
2563,"using this 1 day can eliminate the need for checking sugar levels","CBD gummies reverse Type 1 and Type 2 diabetes"
2564,"again we are asking a simple question if this stuff works then why cannot we live like it works what are you really telling us here it is not a trick question what is the answer","""Why, for example, does [National Institute of Allergy and Infectious Diseases Director] Tony Fauci say you have to wear a mask after you get the vaccine?"""
2565,"so sad for meghan as she was denied to join the funeral by queens last order","The claim: Duchess Meghan was denied entry to Queen Elizabeth II's funeral"
2566,"science fiction becomes reality","Artificial womb facility concept is a reality now"
2567,"this is a genuine ad from 1964 when wd 40 was first released","A WD-40 ad from the 1960s is filled with sexual innuendo."
2568,"warning over 140000 ghost children who have disappeared from uk schools since pandemic","140,000 children went missing from education during the pandemic and have not returned to school."
2569,"not anymore faizabad cantt railway station on the eve of dusshera defence minister rajnathsingh ji approves the proposal of changing it as ayodhya cantt railway station jai shree ram","Not anymore Faizabad Cantt railway station, on the eve of Dusshera defence minister @rajnathsingh Ji approves the proposal of changing it as Ayodhya Cantt railway station.

Jai Shree Ram..!"
2570,"it is none of our business it is chinas business what laws it passes so please a little selfrestraint i devised a visa rubber stamp that stamps most of the south china sea and parts of north borneo as our national territory and no one has complained i forgot to include guam","China's new coast guard policy  is ""none of our business;"" it is China's business what law it passes."
2571,"el periodista adeel raja de cnn dice que el mundo necesita united nations hitler por los sucesos en israel","“PERIODISTA ADEEL RAJA DE CNN DICE QUE EL MUNDO “NECESITA UN HITLER” POR LOS SUCESOS EN ISRAEL”"
2572,"qanon promoters on telegram including qanon john are already speculating baselessly that the elementary school shooting in uvalde texas was a false flag","The shooting at an elementary school in Uvalde County, Texas, was a false flag.
"
2573,"if mike pence did this in 2016 the media would have lost their minds","Kamala Harris “has not formally taken questions from the press a single time” since she was announced as Joe Biden’s vice presidential pick."
2574,"reality of boycotttanishq movement bjp don","What #BoycottTanishq is on Twitter and what it actually is. From one lakh twelve thousand to 200 rupees."
2575,"usage of the vaccines has increased rapidly and as such so has reporting of fatal events with a temporal association with vaccination however this does not indicate a link between vaccination and the fatalities reported","1,295 people died as a result of the Covid-19 vaccine."
2576,"wef claims to engineer the climate","An article published by the World Economic Forum confirms that the organisation is engineering the climate."
2577,"height is sickularism halal certified aavin butter enjoy","Incredible…. Halal on cooking butter…."
2578,"rest in peace leslie phillips a great actress grew up watching birds of a feather","Nadhim Zahawi confused actors Leslie Phillips and Lesley Joseph in a tribute tweet following the former’s recent death."
2579,"extract from the peer reviewed paper in the british medical journal how much more proof do you want that the tests are a massive part of the problem here is a screenshot of the article in my earlier posti ante meridiem no expert but i ante meridiem capable of sharing what the experts say","A BMJ article is proof that the use of PCR tests are a massive part of the problem."
2580,"there is no way that this was legitimate and no we are not calling the az race yet kari abe and blake are still in this and we need them","The claim: Candidates with more social media followers losing an election is proof of fraud"
2581,"friendly reminder that abortions are considered a sacred ritual of the satanic temple so if you register as a member it should be protected under the first amendment","You can ""protect your religious freedom of abortion"" by joining The Satanic Temple."
2582,"what are your fathers of the nation doing","Mahatma Gandhi in close proximity to a woman."
2583,"rough day have a laugh here is aoc faking being arrested","Rep. Alexandria Ocasio-Cortez did not get arrested while protesting at the Supreme Court"
2584,"ellen degeneres is on house arrest for child sex trafficking","The claim: Well-known politicians and celebrities are under house arrest for sex trafficking"
2585,"corona is the cure humans are the disease","A branch of Extinction Rebellion tweeted in support of a flyer saying “Corona is the cure. Humans are the disease.”."
2586,"around 3 in 4 patients in hospital with covid right now are over 65 only around half have had the second booster vaccines remain the greatest protection against severe disease and hospitalisation the numbers coming forward for a second booster are increasing forusall","More than 1500 athletes have suffered cardiac arrest since COVID vaccinations began, compared to a previous average of 29 per year."
2587,"do you see the problem here do you see the common denominator this is why and how black families are destroyed no different from slavery where family members were sold off like cattle this is systemic racism do you see it","A white armed-robbery suspect was sentenced to two years in jail while a black armed-robbery suspect was sentenced to 26 years in prison by the same Florida judge."
2588,"dear paytm customer your paytm kyc has been suspended paytm office ph 7679046492 ac will block within 24 hr thank you","Paytm KYC suspended and account will be blocked within 24 hours"
2589,"i have been much tougher on russia than obama just look at the facts total fake news","""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!"""
2590,"i have just heard some really shocking news the royal british legion are not selling poppies in certain areas on november 11 this year this is because some minorities say that it will upset them i say sod off the poppy is a symbol of reverence for our fallen heroes of all the wars the british military have fought in britain stand up and say we want the poppy sold every were sic in the uk this is our right to revere our fallen please repost","The Royal British Legion will not be selling poppies in certain areas to avoid upsetting “minorities”."
2591,"liberate michigan","Stay-at-home orders “actually are the law of these states.”"
